ID_BUERGERORT_NEW,ID_PERSON_NEW,ID_PERSON,ORT,DATUM_VON_TAG,DATUM_VON_MONAT,DATUM_VON_JAHR,DATUM_BIS_TAG,DATUM_BIS_MONAT,DATUM_BIS_JAHR
13_BUERGERORT_1,13,Petermann_Albert_L._1937__,,,,,,,
39_BUERGERORT_1,39,Ruedin_Jacques_1910__,,,,,,,
45_BUERGERORT_1,45,Nievergelt_Ernst_1894__,,,,,,,
46_BUERGERORT_1,46,Reimann_Hansheinrich_1914__,,,,,,,
52_BUERGERORT_1,52,Fischer_Otto_1901__,,,,,,,
53_BUERGERORT_1,53,Galliker_Adolf_1892__,,,,,,,
55_BUERGERORT_1,55,Meyer_Ernst_1906__,,,,,,,
56_BUERGERORT_1,56,Müller-Munz_Caspar_1884__,,,,,,,
59_BUERGERORT_1,59,Kleiner_Gottfried_1897_05_04,Zürich,4,5,1897,01,01,1958
61_BUERGERORT_1,61,Krummenacher_Jakob_1904__,,,,,,,
113_BUERGERORT_1,113,Fosco_Leo_Lorenzo_1953__,,,,,,,
115_BUERGERORT_1,115,Kägi_Eugen_1926__,,,,,,,
116_BUERGERORT_1,116,Roth_Richard_1926__,,,,,,,
125_BUERGERORT_1,125,Fischer_Walter_1929__,,,,,,,
126_BUERGERORT_1,126,Hohermuth_Susanne_1941__,,,,,,,
130_BUERGERORT_1,130,Bautz_Rudolf_1941__,,,,,,,
138_BUERGERORT_1,138,Felix_Peter_1929__,,,,,,,
141_BUERGERORT_1,141,Wegmann_Arthur_1917__,,,,,,,
144_BUERGERORT_1,144,Güntensperger_Alfred_1933__,,,,,,,
147_BUERGERORT_1,147,Holenstein_Peter_1939__,,,,,,,
155_BUERGERORT_1,155,Stiefel_Gottfried_1923__,,,,,,,
160_BUERGERORT_1,160,Baur_Karl_1902__,,,,,,,
161_BUERGERORT_1,161,Brugger_Albert_1901__,,,,,,,
164_BUERGERORT_1,164,Müller_August_1921__,,,,,,,
169_BUERGERORT_1,169,Holenstein_Alois_1906__,,,,,,,
172_BUERGERORT_1,172,Strickler_Gottlieb_1906__,,,,,,,
175_BUERGERORT_1,175,Wiedenmeyer_Hermann_1908__,,,,,,,
176_BUERGERORT_1,176,Iten_Franz_1921__,,,,,,,
180_BUERGERORT_1,180,Mayr_Max_1908__,,,,,,,
182_BUERGERORT_1,182,Sulzer_Adolf_1908__,,,,,,,
183_BUERGERORT_1,183,Bisang_Hans_1911__,,,,,,,
193_BUERGERORT_1,193,Fegblé_Arnold_1910__,,,,,,,
194_BUERGERORT_1,194,Helbig_Hans_1900__,,,,,,,
197_BUERGERORT_1,197,Kolb_Eduard_1890__,,,,,,,
200_BUERGERORT_1,200,Maurer_Adolf_1911__,,,,,,,
204_BUERGERORT_1,204,Amrein_Robert_1905__,,,,,,,
205_BUERGERORT_1,205,Bays_Emil_1914__,,,,,,,
212_BUERGERORT_1,212,Steuri_Fritz_1901__,,,,,,,
299_BUERGERORT_1,299,Federer_Markus_1955__,,,,,,,
303_BUERGERORT_1,303,Schwyn_Christine_1963__,,,,,,,
304_BUERGERORT_1,304,Volkart_Willy_1942__,,,,,,,
306_BUERGERORT_1,306,Singer_Otto_1936__,,,,,,,
307_BUERGERORT_1,307,Scherr_Niklaus_1944__,,,,,,,
309_BUERGERORT_1,309,Hagenmüller_Eberhard_1924__,,,,,,,
310_BUERGERORT_1,310,Ronner_Otto_1925__,,,,,,,
311_BUERGERORT_1,311,Urfer_Werner_1919__,,,,,,,
312_BUERGERORT_1,312,Eicher_Ernst_1910__,,,,,,,
313_BUERGERORT_1,313,Gujer_Hans_1915__,,,,,,,
314_BUERGERORT_1,314,Sansonnens_Jean_1930__,,,,,,,
316_BUERGERORT_1,316,Winiger_Alois_1911__,,,,,,,
319_BUERGERORT_1,319,Murbach_Gottfried_1913__,,,,,,,
321_BUERGERORT_1,321,Rellstab_Fred_1911__,,,,,,,
323_BUERGERORT_1,323,Schuler_Karl_1924__,,,,,,,
333_BUERGERORT_1,333,Winiger_August_1893__,,,,,,,
335_BUERGERORT_1,335,Zürn_Gustav_1899__,,,,,,,
337_BUERGERORT_1,337,Haindl_Willy_1908__,,,,,,,
340_BUERGERORT_1,340,Kleck_Kurt_1918__,,,,,,,
343_BUERGERORT_1,343,Grüebler_Heinrich_1897__,,,,,,,
344_BUERGERORT_1,344,Huber_Emil_1915__,,,,,,,
345_BUERGERORT_1,345,Huber_Ernst_1903__,,,,,,,
347_BUERGERORT_1,347,Messmer_Jakob_1906__,,,,,,,
349_BUERGERORT_1,349,Disler_Hans_1897__,,,,,,,
351_BUERGERORT_1,351,Hauser_Ferdinand_1910__,,,,,,,
353_BUERGERORT_1,353,Mayer_Georg_1894__,,,,,,,
356_BUERGERORT_1,356,Baumann_Emil_1897__,,,,,,,
405_BUERGERORT_1,405,Bohren_Alfred_1932__,,,,,,,
408_BUERGERORT_1,408,Heussler_Fatima_1952__,,,,,,,
410_BUERGERORT_1,410,Nipkow_Jürg_1946__,,,,,,,
419_BUERGERORT_1,419,Strasser_Peter_1940__,,,,,,,
421_BUERGERORT_1,421,Zogg_Walter_1934__,,,,,,,
427_BUERGERORT_1,427,Frey_Walter_1898__,,,,,,,
428_BUERGERORT_1,428,Kistler_Alois_1906__,,,,,,,
440_BUERGERORT_1,440,Nehrwein_Fritz_1907__,,,,,,,
442_BUERGERORT_1,442,Schärli_Alois_1911__,,,,,,,
445_BUERGERORT_1,445,Heyden_Willy_1904__,,,,,,,
446_BUERGERORT_1,446,Kläsi_Peter_1920__,,,,,,,
453_BUERGERORT_1,453,Kappeler_Josef_1895__,,,,,,,
