ID_EINSITZ_NEW,ID_PERSON_NEW,ID_PERSON,RAT,DATUM_EINTRITT_TAG,DATUM_EINTRITT_MONAT,DATUM_EINTRITT_JAHR,DATUM_AUSTRITT_TAG,DATUM_AUSTRITT_MONAT,DATUM_AUSTRITT_JAHR,WAHLKREIS,QUELLEN,BEMERKUNGEN
6_EINSITZ_1,6,Zollinger_Martin_1944__,Kantonsrat,06,05,1991,15,12,1997,1. Wahlkreis (Zürich 1+2),,
13_EINSITZ_1,13,Petermann_Albert_L._1937__,Kantonsrat,26,05,1975,19,08,1985,1. Wahlkreis (Zürich 1+2),,abgelöst von Lauffer, Peter
28_EINSITZ_1,28,Rappold_Niklaus_1901__,Kantonsrat,27,04,1959,23,05,1971,1. Wahlkreis (Zürich 1+2),,
32_EINSITZ_1,32,Gubser_Albert_1901__,Kantonsrat,09,05,1955,07,05,1967,1. Wahlkreis (Zürich 1+2),,
38_EINSITZ_1,38,Kuhn_Manfred_1930__,Kantonsrat,27,04,1959,26,05,1963,1. Wahlkreis (Zürich 1+2),,
39_EINSITZ_1,39,Ruedin_Jacques_1910__,Kantonsrat,27,04,1959,26,05,1963,1. Wahlkreis (Zürich 1+2),,
45_EINSITZ_1,45,Nievergelt_Ernst_1894__,Kantonsrat,03,05,1943,26,04,1959,1. Wahlkreis (Zürich 1+2),,
46_EINSITZ_1,46,Reimann_Hansheinrich_1914__,Kantonsrat,30,04,1951,24,03,1958,1. Wahlkreis (Zürich 1+2),,Abgelöst von Nater, Paul.
52_EINSITZ_1,52,Fischer_Otto_1901__,Kantonsrat,05,05,1947,29,04,1951,1. Wahlkreis (Zürich 1+2),,
53_EINSITZ_1,53,Galliker_Adolf_1892__,Kantonsrat,03,05,1943,29,04,1951,1. Wahlkreis (Zürich 1+2),,
55_EINSITZ_1,55,Meyer_Ernst_1906__,Kantonsrat,05,05,1947,06,09,1948,1. Wahlkreis (Zürich 1+2),,Abgelöst von Brupbacher, Willy, Dr.
56_EINSITZ_1,56,Müller-Munz_Caspar_1884__,Kantonsrat,03,04,1939,29,04,1951,1. Wahlkreis (Zürich 1+2),,
59_EINSITZ_1,59,Kleiner_Gottfried_1897_05_04,Kantonsrat,03,05,1943,04,05,1947,1. Wahlkreis (Zürich 1+2),,
61_EINSITZ_1,61,Krummenacher_Jakob_1904__,Kantonsrat,03,05,1943,04,05,1947,1. Wahlkreis (Zürich 1+2),,
113_EINSITZ_1,113,Fosco_Leo_Lorenzo_1953__,Kantonsrat,30,04,1979,07,05,1995,2. Wahlkreis (Zürich 3+9),,
115_EINSITZ_1,115,Kägi_Eugen_1926__,Kantonsrat,04,05,1987,06,07,1992,2. Wahlkreis (Zürich 3+9),,Abgelöst von Stoller, Werner.
116_EINSITZ_1,116,Roth_Richard_1926__,Kantonsrat,04,05,1987,07,05,1995,2. Wahlkreis (Zürich 3+9),,
125_EINSITZ_1,125,Fischer_Walter_1929__,Kantonsrat,30,04,1979,05,05,1991,2. Wahlkreis (Zürich 3+9),,
126_EINSITZ_1,126,Hohermuth_Susanne_1941__,Kantonsrat,30,05,1983,05,05,1991,2. Wahlkreis (Zürich 3+9),,
130_EINSITZ_1,130,Bautz_Rudolf_1941__,Kantonsrat,26,05,1975,24,10,1983,2. Wahlkreis (Zürich 3+9),,Abgelöst von Vischer, Daniel.
138_EINSITZ_1,138,Felix_Peter_1929__,Kantonsrat,30,04,1979,29,05,1983,2. Wahlkreis (Zürich 3+9),,
141_EINSITZ_1,141,Wegmann_Arthur_1917__,Kantonsrat,08,05,1967,29,05,1983,2. Wahlkreis (Zürich 3+9),,
144_EINSITZ_1,144,Güntensperger_Alfred_1933__,Kantonsrat,24,05,1971,29,04,1979,2. Wahlkreis (Zürich 3+9),,
147_EINSITZ_1,147,Holenstein_Peter_1939__,Kantonsrat,24,05,1971,03,05,1976,2. Wahlkreis (Zürich 3+9),,Abgelöst von Rietschi, Hans-Rudolf.
150_EINSITZ_1,150,Bieber_Walter_1922__,Kantonsrat,27,05,1963,10,07,1972,2. Wahlkreis (Zürich 3+9),,Abgelöst von Bartholet, Alfred.
155_EINSITZ_1,155,Stiefel_Gottfried_1923__,Kantonsrat,24,05,1971,25,05,1975,2. Wahlkreis (Zürich 3+9),,
158_EINSITZ_1,158,Arnet_Xaver_1908__,Kantonsrat,08,05,1967,18,10,1967,2. Wahlkreis (Zürich 3+9),,Abgelöst von Andres, Albert.
160_EINSITZ_1,160,Baur_Karl_1902__,Kantonsrat,03,04,1939,23,05,1971,2. Wahlkreis (Zürich 3+9),,
160_EINSITZ_2,160,Baur_Karl_1902__,Kantonsrat,29,04,1935,02,04,1939,3. Wahlkreis (Zürich 4+5),,
161_EINSITZ_1,161,Brugger_Albert_1901__,Kantonsrat,09,05,1955,23,05,1971,2. Wahlkreis (Zürich 3+9),,
164_EINSITZ_1,164,Müller_August_1921__,Kantonsrat,27,05,1963,23,05,1971,2. Wahlkreis (Zürich 3+9),,
167_EINSITZ_1,167,Schütz_Alfred_1920__,Kantonsrat,27,04,1959,23,05,1971,2. Wahlkreis (Zürich 3+9),,
169_EINSITZ_1,169,Holenstein_Alois_1906__,Kantonsrat,27,04,1959,07,05,1967,2. Wahlkreis (Zürich 3+9),,
171_EINSITZ_1,171,Sieber_Albert_1901__,Kantonsrat,09,05,1955,07,05,1967,2. Wahlkreis (Zürich 3+9),,
172_EINSITZ_1,172,Strickler_Gottlieb_1906__,Kantonsrat,30,04,1951,14,11,1966,2. Wahlkreis (Zürich 3+9),,Abgelöst von Häberling, Heinrich, Dr.
173_EINSITZ_1,173,Tschudi_Rudolf_1923__,Kantonsrat,30,04,1951,20,12,1965,2. Wahlkreis (Zürich 3+9),,Abgelöst von Peyer, Emil.
175_EINSITZ_1,175,Wiedenmeyer_Hermann_1908__,Kantonsrat,09,05,1955,07,05,1967,2. Wahlkreis (Zürich 3+9),,
176_EINSITZ_1,176,Iten_Franz_1921__,Kantonsrat,09,05,1955,26,05,1963,2. Wahlkreis (Zürich 3+9),,
180_EINSITZ_1,180,Mayr_Max_1908__,Kantonsrat,03,05,1943,26,05,1963,2. Wahlkreis (Zürich 3+9),,
182_EINSITZ_1,182,Sulzer_Adolf_1908__,Kantonsrat,03,04,1939,26,05,1963,2. Wahlkreis (Zürich 3+9),,
183_EINSITZ_1,183,Bisang_Hans_1911__,Kantonsrat,30,04,1951,01,07,1957,2. Wahlkreis (Zürich 3+9),,Abgelöst von Brunner, Walter.
193_EINSITZ_1,193,Fegblé_Arnold_1910__,Kantonsrat,05,05,1947,12,12,1949,2. Wahlkreis (Zürich 3+9),,Abgelöst von Leutwyler, Adolf.
194_EINSITZ_1,194,Helbig_Hans_1900__,Kantonsrat,05,05,1947,04,12,1950,2. Wahlkreis (Zürich 3+9),,Abgelöst von Strub, Richard.
197_EINSITZ_1,197,Kolb_Eduard_1890__,Kantonsrat,03,05,1943,08,05,1955,2. Wahlkreis (Zürich 3+9),,
200_EINSITZ_1,200,Maurer_Adolf_1911__,Kantonsrat,05,05,1947,29,04,1951,2. Wahlkreis (Zürich 3+9),,
204_EINSITZ_1,204,Amrein_Robert_1905__,Kantonsrat,03,04,1939,04,05,1947,2. Wahlkreis (Zürich 3+9),,
205_EINSITZ_1,205,Bays_Emil_1914__,Kantonsrat,03,05,1943,04,05,1947,2. Wahlkreis (Zürich 3+9),,
206_EINSITZ_1,206,Eichmann_Eugen_1898__,Kantonsrat,03,05,1943,04,05,1947,2. Wahlkreis (Zürich 3+9),,
207_EINSITZ_1,207,Hüni_Emanuel_1894__,Kantonsrat,03,05,1943,04,05,1947,2. Wahlkreis (Zürich 3+9),,
212_EINSITZ_1,212,Steuri_Fritz_1901__,Kantonsrat,03,05,1943,04,05,1947,2. Wahlkreis (Zürich 3+9),,
299_EINSITZ_1,299,Federer_Markus_1955__,Kantonsrat,06,05,1991,07,05,1995,3. Wahlkreis (Zürich 4+5),,
300_EINSITZ_1,300,Hofmann_Heidi_1951__,Kantonsrat,30,04,1979,21,06,1993,3. Wahlkreis (Zürich 4+5),,Abgelöst von Katzenstein, Annegret.
303_EINSITZ_1,303,Schwyn_Christine_1963__,Kantonsrat,06,05,1991,07,05,1995,3. Wahlkreis (Zürich 4+5),,
304_EINSITZ_1,304,Volkart_Willy_1942__,Kantonsrat,26,05,1975,07,05,1995,3. Wahlkreis (Zürich 4+5),,
306_EINSITZ_1,306,Singer_Otto_1936__,Kantonsrat,30,04,1979,05,05,1991,3. Wahlkreis (Zürich 4+5),,
307_EINSITZ_1,307,Scherr_Niklaus_1944__,Kantonsrat,30,05,1983,22,08,1983,3. Wahlkreis (Zürich 4+5),,Abgelöst von Dettwiler, Martin.
309_EINSITZ_1,309,Hagenmüller_Eberhard_1924__,Kantonsrat,30,04,1979,29,05,1983,3. Wahlkreis (Zürich 4+5),,
310_EINSITZ_1,310,Ronner_Otto_1925__,Kantonsrat,24,05,1971,29,05,1983,3. Wahlkreis (Zürich 4+5),,
311_EINSITZ_1,311,Urfer_Werner_1919__,Kantonsrat,30,04,1979,29,05,1983,3. Wahlkreis (Zürich 4+5),,
312_EINSITZ_1,312,Eicher_Ernst_1910__,Kantonsrat,27,04,1959,29,04,1979,3. Wahlkreis (Zürich 4+5),,
