ID_FUNKTION_NEW,ID_EINSITZ_NEW,ID_PERSON_NEW,ID_PERSON,FUNKTIONSBEZEICHNUNG,DATUM_VON_TAG,DATUM_VON_MONAT,DATUM_VON_JAHR,DATUM_BIS_TAG,DATUM_BIS_MONAT,DATUM_BIS_JAHR
13_EINSITZ_1_FUNKTION_1,13_EINSITZ_1,13,Petermann_Albert_L._1937__,,,,,,,
39_EINSITZ_1_FUNKTION_1,39_EINSITZ_1,39,Ruedin_Jacques_1910__,,,,,,,
45_EINSITZ_1_FUNKTION_1,45_EINSITZ_1,45,Nievergelt_Ernst_1894__,,,,,,,
46_EINSITZ_1_FUNKTION_1,46_EINSITZ_1,46,Reimann_Hansheinrich_1914__,,,,,,,
52_EINSITZ_1_FUNKTION_1,52_EINSITZ_1,52,Fischer_Otto_1901__,,,,,,,
56_EINSITZ_1_FUNKTION_1,56_EINSITZ_1,56,Müller-Munz_Caspar_1884__,,,,,,,
59_EINSITZ_1_FUNKTION_1,59_EINSITZ_1,59,Kleiner_Gottfried_1897_05_04,,,,,,,
61_EINSITZ_1_FUNKTION_1,61_EINSITZ_1,61,Krummenacher_Jakob_1904__,,,,,,,
115_EINSITZ_1_FUNKTION_1,115_EINSITZ_1,115,Kägi_Eugen_1926__,,,,,,,
116_EINSITZ_1_FUNKTION_1,116_EINSITZ_1,116,Roth_Richard_1926__,,,,,,,
125_EINSITZ_1_FUNKTION_1,125_EINSITZ_1,125,Fischer_Walter_1929__,,,,,,,
126_EINSITZ_1_FUNKTION_1,126_EINSITZ_1,126,Hohermuth_Susanne_1941__,,,,,,,
130_EINSITZ_1_FUNKTION_1,130_EINSITZ_1,130,Bautz_Rudolf_1941__,,,,,,,
138_EINSITZ_1_FUNKTION_1,138_EINSITZ_1,138,Felix_Peter_1929__,,,,,,,
144_EINSITZ_1_FUNKTION_1,144_EINSITZ_1,144,Güntensperger_Alfred_1933__,,,,,,,
147_EINSITZ_1_FUNKTION_1,147_EINSITZ_1,147,Holenstein_Peter_1939__,,,,,,,
155_EINSITZ_1_FUNKTION_1,155_EINSITZ_1,155,Stiefel_Gottfried_1923__,,,,,,,
160_EINSITZ_1_FUNKTION_1,160_EINSITZ_1,160,Baur_Karl_1902__,,,,,,,
160_EINSITZ_2_FUNKTION_1,160_EINSITZ_2,160,Baur_Karl_1902__,,,,,,,
164_EINSITZ_1_FUNKTION_1,164_EINSITZ_1,164,Müller_August_1921__,,,,,,,
169_EINSITZ_1_FUNKTION_1,169_EINSITZ_1,169,Holenstein_Alois_1906__,,,,,,,
172_EINSITZ_1_FUNKTION_1,172_EINSITZ_1,172,Strickler_Gottlieb_1906__,,,,,,,
175_EINSITZ_1_FUNKTION_1,175_EINSITZ_1,175,Wiedenmeyer_Hermann_1908__,,,,,,,
180_EINSITZ_1_FUNKTION_1,180_EINSITZ_1,180,Mayr_Max_1908__,,,,,,,
182_EINSITZ_1_FUNKTION_1,182_EINSITZ_1,182,Sulzer_Adolf_1908__,,,,,,,
183_EINSITZ_1_FUNKTION_1,183_EINSITZ_1,183,Bisang_Hans_1911__,,,,,,,
193_EINSITZ_1_FUNKTION_1,193_EINSITZ_1,193,Fegblé_Arnold_1910__,,,,,,,
197_EINSITZ_1_FUNKTION_1,197_EINSITZ_1,197,Kolb_Eduard_1890__,,,,,,,
200_EINSITZ_1_FUNKTION_1,200_EINSITZ_1,200,Maurer_Adolf_1911__,,,,,,,
204_EINSITZ_1_FUNKTION_1,204_EINSITZ_1,204,Amrein_Robert_1905__,,,,,,,
205_EINSITZ_1_FUNKTION_1,205_EINSITZ_1,205,Bays_Emil_1914__,,,,,,,
212_EINSITZ_1_FUNKTION_1,212_EINSITZ_1,212,Steuri_Fritz_1901__,,,,,,,
299_EINSITZ_1_FUNKTION_1,299_EINSITZ_1,299,Federer_Markus_1955__,,,,,,,
303_EINSITZ_1_FUNKTION_1,303_EINSITZ_1,303,Schwyn_Christine_1963__,,,,,,,
304_EINSITZ_1_FUNKTION_1,304_EINSITZ_1,304,Volkart_Willy_1942__,,,,,,,
306_EINSITZ_1_FUNKTION_1,306_EINSITZ_1,306,Singer_Otto_1936__,,,,,,,
307_EINSITZ_1_FUNKTION_1,307_EINSITZ_1,307,Scherr_Niklaus_1944__,,,,,,,
309_EINSITZ_1_FUNKTION_1,309_EINSITZ_1,309,Hagenmüller_Eberhard_1924__,,,,,,,
310_EINSITZ_1_FUNKTION_1,310_EINSITZ_1,310,Ronner_Otto_1925__,,,,,,,
312_EINSITZ_1_FUNKTION_1,312_EINSITZ_1,312,Eicher_Ernst_1910__,,,,,,,
313_EINSITZ_1_FUNKTION_1,313_EINSITZ_1,313,Gujer_Hans_1915__,,,,,,,
314_EINSITZ_1_FUNKTION_1,314_EINSITZ_1,314,Sansonnens_Jean_1930__,,,,,,,
316_EINSITZ_1_FUNKTION_1,316_EINSITZ_1,316,Winiger_Alois_1911__,,,,,,,
319_EINSITZ_1_FUNKTION_1,319_EINSITZ_1,319,Murbach_Gottfried_1913__,,,,,,,
321_EINSITZ_1_FUNKTION_1,321_EINSITZ_1,321,Rellstab_Fred_1911__,,,,,,,
323_EINSITZ_1_FUNKTION_1,323_EINSITZ_1,323,Schuler_Karl_1924__,,,,,,,
333_EINSITZ_1_FUNKTION_1,333_EINSITZ_1,333,Winiger_August_1893__,,,,,,,
335_EINSITZ_1_FUNKTION_1,335_EINSITZ_1,335,Zürn_Gustav_1899__,,,,,,,
337_EINSITZ_1_FUNKTION_1,337_EINSITZ_1,337,Haindl_Willy_1908__,,,,,,,
340_EINSITZ_1_FUNKTION_1,340_EINSITZ_1,340,Kleck_Kurt_1918__,,,,,,,
