ID_PARTEI_NEW,ID_EINSITZ_NEW,ID_PERSON_NEW,ID_PERSON,PARTEIBEZEICHNUNG,FRAKTION,DATUM_VON_TAG,DATUM_VON_MONAT,DATUM_VON_JAHR,DATUM_BIS_TAG,DATUM_BIS_MONAT,DATUM_BIS_JAHR
13_EINSITZ_1_PARTEI_1,13_EINSITZ_1,13,Petermann_Albert_L._1937__,FDP,,26,05,1975,19,08,1985
39_EINSITZ_1_PARTEI_1,39_EINSITZ_1,39,Ruedin_Jacques_1910__,Ch,,27,04,1959,26,05,1963
45_EINSITZ_1_PARTEI_1,45_EINSITZ_1,45,Nievergelt_Ernst_1894__,F,,03,05,1943,26,04,1959
46_EINSITZ_1_PARTEI_1,46_EINSITZ_1,46,Reimann_Hansheinrich_1914__,F,,30,04,1951,24,03,1958
52_EINSITZ_1_PARTEI_1,52_EINSITZ_1,52,Fischer_Otto_1901__,PdA,,05,05,1947,29,04,1951
56_EINSITZ_1_PARTEI_1,56_EINSITZ_1,56,Müller-Munz_Caspar_1884__,F,,03,04,1939,29,04,1951
59_EINSITZ_1_PARTEI_1,59_EINSITZ_1,59,Kleiner_Gottfried_1897_05_04,L,,03,05,1943,04,05,1947
61_EINSITZ_1_PARTEI_1,61_EINSITZ_1,61,Krummenacher_Jakob_1904__,S,,03,05,1943,04,05,1947
115_EINSITZ_1_PARTEI_1,115_EINSITZ_1,115,Kägi_Eugen_1926__,SVP,,04,05,1987,06,07,1992
116_EINSITZ_1_PARTEI_1,116_EINSITZ_1,116,Roth_Richard_1926__,CVP,,04,05,1987,07,05,1995
125_EINSITZ_1_PARTEI_1,125_EINSITZ_1,125,Fischer_Walter_1929__,FDP,,30,04,1979,05,05,1991
126_EINSITZ_1_PARTEI_1,126_EINSITZ_1,126,Hohermuth_Susanne_1941__,LdU,,30,05,1983,05,05,1991
130_EINSITZ_1_PARTEI_1,130_EINSITZ_1,130,Bautz_Rudolf_1941__,POCH,,26,05,1975,24,10,1983
138_EINSITZ_1_PARTEI_1,138_EINSITZ_1,138,Felix_Peter_1929__,LdU,,30,04,1979,29,05,1983
144_EINSITZ_1_PARTEI_1,144_EINSITZ_1,144,Güntensperger_Alfred_1933__,NA,,24,05,1971,29,04,1979
147_EINSITZ_1_PARTEI_1,147_EINSITZ_1,147,Holenstein_Peter_1939__,CVP,,24,05,1971,03,05,1976
155_EINSITZ_1_PARTEI_1,155_EINSITZ_1,155,Stiefel_Gottfried_1923__,F+D,,24,05,1971,25,05,1975
160_EINSITZ_1_PARTEI_1,160_EINSITZ_1,160,Baur_Karl_1902__,S,,03,04,1939,23,05,1971
160_EINSITZ_2_PARTEI_1,160_EINSITZ_2,160,Baur_Karl_1902__,S,,29,04,1935,02,04,1939
