ID_WOHNORT_NEW,ID_PERSON_NEW,ID_PERSON,POSTLEITZAHL,GEMEINDENAME,DATUM_VON_TAG,DATUM_VON_MONAT,DATUM_VON_JAHR,DATUM_BIS_TAG,DATUM_BIS_MONAT,DATUM_BIS_JAHR
13_WOHNORT_1,13,Petermann_Albert_L._1937__,,Zürich,26,05,1975,19,08,1985
39_WOHNORT_1,39,Ruedin_Jacques_1910__,,Zürich,27,04,1959,26,05,1963
45_WOHNORT_1,45,Nievergelt_Ernst_1894__,,Zürich,03,05,1943,26,04,1959
46_WOHNORT_1,46,Reimann_Hansheinrich_1914__,,Zürich,30,04,1951,24,03,1958
52_WOHNORT_1,52,Fischer_Otto_1901__,,Zürich,05,05,1947,29,04,1951
56_WOHNORT_1,56,Müller-Munz_Caspar_1884__,,Zürich,03,04,1939,29,04,1951
59_WOHNORT_1,59,Kleiner_Gottfried_1897_05_04,,Zürich,03,05,1943,04,05,1947
61_WOHNORT_1,61,Krummenacher_Jakob_1904__,,Zürich,03,05,1943,04,05,1947
115_WOHNORT_1,115,Kägi_Eugen_1926__,,Zürich,04,05,1987,06,07,1992
116_WOHNORT_1,116,Roth_Richard_1926__,,Zürich,04,05,1987,07,05,1995
125_WOHNORT_1,125,Fischer_Walter_1929__,,Zürich,30,04,1979,05,05,1991
126_WOHNORT_1,126,Hohermuth_Susanne_1941__,,Zürich,30,05,1983,05,05,1991
130_WOHNORT_1,130,Bautz_Rudolf_1941__,,Zürich,26,05,1975,24,10,1983
138_WOHNORT_1,138,Felix_Peter_1929__,,Zürich,30,04,1979,29,05,1983
144_WOHNORT_1,144,Güntensperger_Alfred_1933__,,Zürich,24,05,1971,29,04,1979
147_WOHNORT_1,147,Holenstein_Peter_1939__,,Zürich,24,05,1971,03,05,1976
155_WOHNORT_1,155,Stiefel_Gottfried_1923__,,Zürich,24,05,1971,25,05,1975
160_WOHNORT_1,160,Baur_Karl_1902__,,Zürich,03,04,1939,23,05,1971
160_WOHNORT_2,160,Baur_Karl_1902__,,Zürich,29,04,1935,02,04,1939
164_WOHNORT_1,164,Müller_August_1921__,,Zürich,27,05,1963,23,05,1971
169_WOHNORT_1,169,Holenstein_Alois_1906__,,Zürich,27,04,1959,07,05,1967
172_WOHNORT_1,172,Strickler_Gottlieb_1906__,,Zürich,30,04,1951,14,11,1966
175_WOHNORT_1,175,Wiedenmeyer_Hermann_1908__,,Zürich,09,05,1955,07,05,1967
180_WOHNORT_1,180,Mayr_Max_1908__,,Zürich,03,05,1943,26,05,1963
182_WOHNORT_1,182,Sulzer_Adolf_1908__,,Zürich,03,04,1939,26,05,1963
183_WOHNORT_1,183,Bisang_Hans_1911__,,Zürich,30,04,1951,01,07,1957
193_WOHNORT_1,193,Fegblé_Arnold_1910__,,Zürich,05,05,1947,12,12,1949
197_WOHNORT_1,197,Kolb_Eduard_1890__,,Zürich,03,05,1943,08,05,1955
200_WOHNORT_1,200,Maurer_Adolf_1911__,,Zürich,05,05,1947,29,04,1951
204_WOHNORT_1,204,Amrein_Robert_1905__,,Zürich,03,04,1939,04,05,1947
205_WOHNORT_1,205,Bays_Emil_1914__,,Zürich,03,05,1943,04,05,1947
212_WOHNORT_1,212,Steuri_Fritz_1901__,,Zürich,03,05,1943,04,05,1947
299_WOHNORT_1,299,Federer_Markus_1955__,,Zürich,06,05,1991,07,05,1995
303_WOHNORT_1,303,Schwyn_Christine_1963__,,Zürich,06,05,1991,07,05,1995
304_WOHNORT_1,304,Volkart_Willy_1942__,,Zürich,26,05,1975,07,05,1995
306_WOHNORT_1,306,Singer_Otto_1936__,,Zürich,30,04,1979,05,05,1991
307_WOHNORT_1,307,Scherr_Niklaus_1944__,,Zürich,30,05,1983,22,08,1983
309_WOHNORT_1,309,Hagenmüller_Eberhard_1924__,,Zürich,30,04,1979,29,05,1983
310_WOHNORT_1,310,Ronner_Otto_1925__,,Zürich,24,05,1971,29,05,1983
312_WOHNORT_1,312,Eicher_Ernst_1910__,,Zürich,27,04,1959,29,04,1979
313_WOHNORT_1,313,Gujer_Hans_1915__,,Zürich,27,05,1963,29,04,1979
314_WOHNORT_1,314,Sansonnens_Jean_1930__,,Zürich,24,05,1971,29,04,1979
316_WOHNORT_1,316,Winiger_Alois_1911__,,Zürich,24,05,1971,29,04,1979
319_WOHNORT_1,319,Murbach_Gottfried_1913__,,Zürich,27,04,1959,23,05,1971
321_WOHNORT_1,321,Rellstab_Fred_1911__,,Zürich,08,05,1967,23,05,1971
323_WOHNORT_1,323,Schuler_Karl_1924__,,Zürich,08,05,1967,21,10,1968
333_WOHNORT_1,333,Winiger_August_1893__,,Zürich,03,04,1939,26,05,1963
335_WOHNORT_1,335,Zürn_Gustav_1899__,,Zürich,09,05,1955,26,05,1963
337_WOHNORT_1,337,Haindl_Willy_1908__,,Zürich,05,05,1947,26,04,1959
340_WOHNORT_1,340,Kleck_Kurt_1918__,,Zürich,30,04,1951,08,05,1955
343_WOHNORT_1,343,Grüebler_Heinrich_1897__,,Zürich,05,05,1947,22,05,1950
344_WOHNORT_1,344,Huber_Emil_1915__,,Zürich,05,05,1947,29,04,1951
345_WOHNORT_1,345,Huber_Ernst_1903__,,Zürich,03,05,1943,01,12,1947
347_WOHNORT_1,347,Messmer_Jakob_1906__,,Zürich,05,05,1947,29,04,1951
349_WOHNORT_1,349,Disler_Hans_1897__,,Zürich,03,05,1943,04,05,1947
351_WOHNORT_1,351,Hauser_Ferdinand_1910__,,Zürich,29,04,1935,04,05,1947
353_WOHNORT_1,353,Mayer_Georg_1894__,,Zürich,03,04,1939,04,05,1947
356_WOHNORT_1,356,Baumann_Emil_1897__,,Zürich,03,04,1939,02,05,1943
405_WOHNORT_1,405,Bohren_Alfred_1932__,,Zürich,26,05,1975,05,05,1991
408_WOHNORT_1,408,Heussler_Fatima_1952__,,Zürich,04,05,1987,05,05,1991
410_WOHNORT_1,410,Nipkow_Jürg_1946__,,Zürich,04,05,1987,05,05,1991
419_WOHNORT_1,419,Strasser_Peter_1940__,,Zürich,26,05,1975,31,03,1980
421_WOHNORT_1,421,Zogg_Walter_1934__,,Zürich,26,05,1975,17,11,1980
427_WOHNORT_1,427,Frey_Walter_1898__,,Zürich,24,05,1971,25,05,1975
428_WOHNORT_1,428,Kistler_Alois_1906__,,Zürich,24,05,1971,25,05,1975
440_WOHNORT_1,440,Nehrwein_Fritz_1907__,,Zürich,09,05,1955,23,05,1971
442_WOHNORT_1,442,Schärli_Alois_1911__,,Zürich,27,05,1963,23,05,1971
445_WOHNORT_1,445,Heyden_Willy_1904__,,Zürich,27,05,1963,09,09,1963
446_WOHNORT_1,446,Kläsi_Peter_1920__,,Zürich,27,05,1963,18,04,1966
453_WOHNORT_1,453,Kappeler_Josef_1895__,,Zürich,09,05,1955,26,05,1963
461_WOHNORT_1,461,Meier_Hermann_1897__,,Zürich,09,05,1955,26,04,1959
465_WOHNORT_1,465,Zeller_Konrad_1897__,,Zürich,30,04,1951,10,09,1956
467_WOHNORT_1,467,Keller_Theodor_1902__,,Zürich,15,03,1948,31,08,1953
469_WOHNORT_1,469,Schguanin_Josef_1914__,,Zürich,30,04,1951,08,05,1955
475_WOHNORT_1,475,Heyer_Albert_1909__,,Zürich,05,05,1947,11,04,1949
477_WOHNORT_1,477,Inhelder_Heinrich_1891__,,Zürich,03,05,1943,04,05,1947
479_WOHNORT_1,479,Peter_Otto_1880__,,Zürich,03,05,1943,04,05,1947
486_WOHNORT_1,486,Wiesendanger_Paul_1869__,,Zürich,29,04,1935,02,05,1938
487_WOHNORT_1,487,Zweifel_Heinrich_1904__,,Zürich,29,04,1935,19,09,1938
561_WOHNORT_1,561,Sieg_Werner_1944__,,Zürich,26,05,1975,29,05,1983
569_WOHNORT_1,569,Vontobel_Jürg_P._1939__,,Zollikon,08,05,1967,20,03,1978
575_WOHNORT_1,575,Wintsch_Hans-Ulrich_1932__,,Zürich,24,05,1971,25,05,1975
580_WOHNORT_1,580,Tanner_Paul_1919__,,Zürich,08,05,1967,23,05,1971
584_WOHNORT_1,584,Grossmann_Marcel_1904__,,Herrliberg,09,05,1955,07,05,1967
586_WOHNORT_1,586,Mettler_Hans_1897__,,Zürich,30,04,1951,07,05,1967
587_WOHNORT_1,587,Meyer_Rolf_1910__,,Zürich,27,05,1963,07,05,1967
588_WOHNORT_1,588,Pesch_Fritz_1905__,,Zürich,27,05,1963,28,06,1965
599_WOHNORT_1,599,Breny_Walter_1898__,,Zollikon,30,04,1951,26,04,1959
612_WOHNORT_1,612,Attinger_Albert_1902__,,Zürich,03,05,1943,04,05,1947
613_WOHNORT_1,613,Eberhard_Johann_1888__,,Zürich,29,04,1935,04,05,1947
615_WOHNORT_1,615,Stalder_Arthur_1898__,,Zürich,03,04,1939,29,04,1944
624_WOHNORT_1,624,Ehrsam_Armin_1880__,,Weiningen,13,05,1929,24,05,1933
642_WOHNORT_1,642,Büchi_Ernst_1928__,,Zürich,04,05,1987,07,05,1995
643_WOHNORT_1,643,Gerber_Rolf_1952__,,Zürich,06,05,1991,30,03,1992
656_WOHNORT_1,656,Diethelm_Michael_1962__,,Zürich,04,05,1987,05,05,1991
659_WOHNORT_1,659,Stadler_Xaver_1933__,,Zürich,30,04,1979,05,05,1991
660_WOHNORT_1,660,Steiner_Bruno_1948__,,Zürich,04,05,1987,02,05,1988
662_WOHNORT_1,662,Baumann_Otto_1936__,,Zürich,30,04,1979,26,03,1984
680_WOHNORT_1,680,Staubli_Walter_1917__,,Hegnau,24,05,1971,15,09,1975
687_WOHNORT_1,687,Kindermann_Hans_1901__,,Zürich,24,05,1971,25,05,1975
691_WOHNORT_1,691,Buri_Ernst_1910__,,Zürich,09,05,1955,23,05,1971
694_WOHNORT_1,694,Schmid_Benno_1934__,,Zürich,08,05,1967,23,05,1971
695_WOHNORT_1,695,Siegfried_Otto_1916__,,Zürich,09,05,1955,23,05,1971
700_WOHNORT_1,700,Theus_Sigisbert_1908__,,Zürich,30,04,1951,07,05,1967
701_WOHNORT_1,701,Kunz_Erwin_1910__,,Zürich,27,04,1959,31,08,1959
703_WOHNORT_1,703,Bertschi_Albert_1908__,,Zürich,03,05,1943,15,09,1958
708_WOHNORT_1,708,Hess_Hermann_1905__,,Zürich,30,04,1951,17,09,1951
709_WOHNORT_1,709,Ochsner_Jakob_Karl_1900__,,Zürich,05,05,1947,08,05,1955
710_WOHNORT_1,710,Marty_Josef_1894__,,Zürich,05,05,1947,29,04,1951
711_WOHNORT_1,711,Friedländer_Albert_1886__,,Zürich,03,05,1943,04,05,1947
